Class	DocDB Family ID	Serial no.	Title	Publication date
negative	10808746	AU6628498A	Preparation of coated confectionery	1998-09-22
negative	10808746	AU733921B2	Preparation of coated confectionery	2001-05-31
negative	10808746	AU733921C	Preparation of coated confectionery	2004-02-26
negative	10808746	CA2282422A1	PREPARATION OF COATED CONFECTIONERY	1998-09-11
negative	10808746	CA2282422C	PREPARATION OF COATED CONFECTIONERY	2006-06-20
negative	10808746	DE69807046T2	A process for the preparation of coated confectionery product	2003-03-20
negative	10808746	EP0966205A1	PREPARATION OF COATED CONFECTIONERY	1999-12-29
negative	10808746	EP0966205B1	PREPARATION OF COATED CONFECTIONERY	2002-08-07
negative	10808746	ES2180146T3	Preparation of coated candy.	2003-02-01
negative	10808746	GB9704563D0	Preparation of coated confectionery	1997-04-23
negative	10808746	NZ337482A	Confectionery component fully coated by another component as it is passed through a nip	2000-05-26
negative	10808746	US6251454B1	SUPPLYING CONFECTIONERY COMPONENT AND SOLIDIFIABLE LIQUID CONFECTIONERY COMPONENT TO NIP DEFINED BY JUXTAPOSITION OF PAIR OF FORMING ELEMENTS HAVING MULTIPLE RECESSES IN SURFACE, PASSING CONFECTIONERY COMPONENTS THROUGH NIP, SOLIDIFYING	2001-06-26
negative	10808746	WO1998038871A1	PREPARATION OF COATED CONFECTIONERY	1998-09-11
negative	10808746	ZA9801877B	Preparation of coated confectionery	1998-09-09
negative	10816428	AT295085T	FETTARME SCHOKOLADE	2005-05-15
negative	10816428	AU747476B2	Low fat chocolate	2002-05-16
negative	10816428	AU7745898A	Low fat chocolate	1999-02-04
negative	10816428	BR9802593A	Chocolate com baixo teor de gordura	2000-11-28
negative	10816428	CA2239811A1	LOW FAT CHOCOLATE	1999-01-24
negative	10816428	DE69830109T2	Low-fat chocolate	2006-01-26
negative	10816428	EP0898897A2	Low fat chocolate	1999-03-03
negative	10816428	EP0898897A3	Low fat chocolate	2000-05-31
negative	10816428	EP0898897B1	Low fat chocolate	2005-05-11
negative	10816428	ES2242249T3	Chocolate with reduced fat content.	2005-11-01
negative	10816428	GB2327591A	Reduced fat chocolate	1999-02-03
negative	10816428	GB9715685D0	Low fat chocolate	1997-10-01
negative	10816428	JP3909154B2	Being the fat decrease chocolate or the fat	2007-04-25
negative	10816428	JPH1189514A	And a method of manufacturing the confectionery material	1999-04-06
negative	10816428	NO983213A	Sjokolade med lavt fettinnhold	1999-01-25
negative	10816428	NO983213D0	Sjokolade med lavt fettinnhold	1998-07-13
negative	10816428	NO983213L	Sjokolade med lavt fettinnhold	1999-01-25
negative	10816428	NZ330891A	A LOW FAT CHOCOLATE CONTAINING LIMONENE AND HAVING A LOW VISCOSITY AND A PROCESS FOR MAKING IT	1998-11-25
negative	10816428	RU2189755C2	CHOCOLATE OR FAT-CONTAINING CONFECTIONERY MATERIAL WITH REDUCED CONTENT OF FAT AND METHOD OF THEIR PRODUCTION	2002-09-27
