Class	DocDB Family ID	Serial no.	Title	Publication date
negative	10750653	AT196013T	NACHWEISUNG VON ELEKTROMAGNETISCHEN FELDERN	2000-09-15
negative	10750653	AU1703095A	Detection of electromagnetic fields	1995-09-11
negative	10750653	CA2183742A1	DETECTION OF ELECTROMAGNETIC FIELDS	1995-08-31
negative	10750653	CA2183742C	DETECTION OF ELECTROMAGNETIC FIELDS	2008-08-05
negative	10750653	DE69518629D1	According to signals of electromagnetic fields	2000-10-05
negative	10750653	DE69518629T2	According to signals of electromagnetic fields	2001-05-03
negative	10750653	DK0746773T3	Detection of electromagnetic fields	2001-01-02
negative	10750653	EP0746773A1	DETECTION OF ELECTROMAGNETIC FIELDS	1996-12-11
negative	10750653	EP0746773B1	DETECTION OF ELECTROMAGNETIC FIELDS	2000-08-30
negative	10750653	ES2152388T3	Detection of electromagnetic fields.	2001-02-01
negative	10750653	GB9403245D0	A device to monitor chemical reactions	1994-04-13
negative	10750653	GR3034950T3	DETECTION OF ELECTROMAGNETIC FIELDS	2001-02-28
negative	10750653	PT746773E	DETECCAO DE CAMPOS ELECTROMAGNETICOS	2001-02-28
negative	10750653	US6150812A	Detection of electromagnetic fields as a determinant of an event	2000-11-21
negative	10750653	WO1995023339A2	DETECTION OF ELECTROMAGNETIC FIELDS	1995-08-31
negative	10750653	WO1995023339A3	DETECTION OF ELECTROMAGNETIC FIELDS	1995-10-05
negative	10808980	CA2280912A1	MAGNETIC GRADIOMETER	1998-09-17
negative	10808980	CA2280912C	MAGNETIC GRADIOMETER	2006-06-13
negative	10808980	DE69801743D1	Magnetic gradiometers	2001-10-25
negative	10808980	DE69801743T2	Magnet gradiometers	2002-07-04
negative	10808980	EP0966689A1	MAGNETIC GRADIOMETER	1999-12-29
negative	10808980	EP0966689B1	MAGNETIC GRADIOMETER	2001-09-19
negative	10808980	GB9704911D0	A magnetic gradiometer	1997-04-30
negative	10808980	US6339328B1	Magnetic gradiometer incorporating global feedback	2002-01-15
negative	10808980	WO1998040757A1	MAGNETIC GRADIOMETER	1998-09-17
negative	11658610	JP2561303B2	Production manner null of monocrystal oxide superconducting	1996-12-04
negative	11658610	JPH01183496A	PRODUCTION OF SINGLE CRYSTAL OXIDE SUPERCONDUCTING THIN FILM	1989-07-21
negative	15415820	JP3142021B2	Electron wave interference device	2001-03-07
negative	15415820	JPH05326984A	ELECTRON WAVE INTERFERENCE DEVICE	1993-12-10
negative	16013261	JP2000018744A	PULSE-PIPE-TYPE REFRIGERATOR AND MAGNETIC-SHIELDING-TYPE REFRIGERATION SYSTEM	2000-01-18
negative	16013261	JP3577498B2	Restoration the impulse tube type refrigerator and the cold reserving material which was created	2004-10-13
negative	17932202	JPH11138370A	WORK PIECE WORKING METHOD	1999-05-25
negative	18109801	JP3144973B2	Digital SQUID and measurement system using the same	2001-03-12
negative	18109801	JPH07174834A	Measurement system using the same digital and SQUID	1995-07-14
negative	18329538	DE4240529A1	Superconducting magnetometer, e.g. for measuring earth's magnetic field from aircraft - has several SQUIDs at defined angles, and computes field from results of measurements in constant field state and in use	1993-06-03
negative	18329538	DE4240529C2	Superconducting magnetometer	1997-12-04
negative	18329538	JP2750033B2	Superconducting magnetometer	1998-05-13
negative	18329538	JPH05172919A	SUPERCONDUCTING MAGNETOMETER	1993-07-13
negative	18341936	DE69032266D1	Multi-channel squid magneto meters	1998-05-28
negative	18341936	DE69032266T2	Multi-channel squid magneto meters	1998-08-13
negative	18341936	EP0435652A2	Superconducting quantum interference magnetometer having a plurality of channels	1991-07-03
negative	18341936	EP0435652A3	SUPERCONDUCTING QUANTUM INTERFERENCE MAGNETOMETER HAVING A PLURALITY OF CHANNELS	1992-09-09
negative	18341936	EP0435652B1	Superconducting quantum interference magnetometer having a plurality of channels	1998-04-22
negative	18341936	JP2761067B2	Superconducting device	1998-06-04
negative	18341936	JPH03197885A	SUPERCONDUCTING DEVICE	1991-08-29
negative	18341936	US5155434A	SUPERCONDUCTING QUANTUM INTERFERENCE MAGNETOMETER HAVING A PLURALITY OF GATED CHANNELS	1992-10-13
negative	18677591	JP2001358712A	ENCIPHERING DEVICE AND METHOD	2001-12-26
negative	18677591	JP4647748B2	By administering the operation which inputs the encryption device	2011-03-09
negative	18677591	US20020106084A1	Encryption method and apparatus	2002-08-08
negative	18677591	US7035411B2	Encryption method and apparatus encrypting and adding signature information to qubits	2006-04-25
negative	19035849	JP2003018144A	QUANTUM CODE MULTINODE NETWORK, AND METHOD OF DISTRIBUTING KEY ON MULTINODE NETWORK, AND QUANTUM CODER	2003-01-17
negative	19035849	US20030002674A1	Quantum cryptography multi-node network system	2003-01-02
negative	19169011	JP2003158519A	METHOD AND APPARATUS FOR CRYPTOGRAPHING QUANTUM STATE AND QUANTUM INFORMATION	2003-05-30
negative	19659037	KR20010092937A	Genetic Quantum Algorithm using quantum computing concept	2001-10-27
negative	19855141	DE69028746D1	2 - Quantum selective magnetic resonance - sequence for the selective determination of the nuclear magnetization of a metabolite	1996-11-07
negative	19855141	DE69028746T2	2 - Quantum selective magnetic resonance - sequence for the selective determination of the nuclear magnetization of a metabolite	1997-04-03
